,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
444,LINKSURE NETWORK HOLDING PTE. LIMITED,13,,,,
445,SAFIRO PTE LTD,13,,,,
446,SOL59,13,,,,
447,SECUR SOLUTIONS GROUP PTE. LTD.,13,,,,
448,Appz Inc Pte Ltd,13,,,,
449,SWIFT,13,,,,
450,Maxsoft Pte Ltd,13,,,,
451,DIEBOLD NIXDORF SINGAPORE PTE. LTD.,13,,,,
452,Micepad,13,,,,
453,YOUZU (SINGAPORE) PTE. LTD.,13,,,,
454,NTT DATA BUSINESS SOLUTIONS SINGAPORE PTE. LTD.,13,,,,
455,Innovez One Pte Ltd,13,,,,
456,BMC Software Asia Pacific Pte Ltd,13,,,,
457,Thinking Notes,13,,,,
458,Dow Technologies and Sytems,13,,,,
459,GDC TECHNOLOGY PTE LTD,13,,,,
460,NEW ASURION SINGAPORE PTE. LTD.,13,,,,
461,IFSC PTE. LTD.,12,,,,
462,Comms Equipments Pte Ltd,12,,,,
463,Gaia Science Pte. Ltd.,12,,,,
464,SARMENT PTE. LTD.,12,,,,
465,Whyze Solutions Pte Ltd,12,,,,
466,TECHDIRECT P/L,12,,,,
467,Savant Degrees,12,,,,
468,3PlayGrounds,12,,,,
469,PHOENIX ONESOFT SINGAPORE PTE. LTD.,12,,,,
470,GLOBOTRON (S) PTE. LTD.,12,,,,
471,Azimuth Labs Pte Ltd,12,,,,
472,Archer Logic,12,,,,
473,ARETE M PTE. LTD.,12,,,,
474,Whatsapp,12,,,,
475,Hako Technology Pte Ltd,12,,,,
476,SILVERLINK TECHNOLOGIES PTE. LTD.,12,,,,
477,GE Digital,12,,,,
478,Denodo,12,,,,
479,Wyzchef,12,,,,
480,Institut D’Expertise Clinique Pte Ltd,12,,,,
481,STUTTGART AUTO PTE LTD,12,,,,
482,Infoblox,12,,,,
483,CyberArk,12,,,,
484,GPS Lands (S) Pte Ltd,12,,,,
485,DC FRONTIERS PTE. LTD.,12,,,,
486,Kenetics Innovations Pte Ltd,12,,,,
487,HORANGI PTE. LTD.,12,,,,
488,DETRACK SYSTEMS PTE. LTD.,12,,,,
489,Kedacom International Pte Ltd,12,,,,
490,ALTROCKS TECH PTE. LTD.,12,,,,
491,INCUBE8 PTE. LTD.,12,,,,
492,REVEL TECH (SG) HOLDINGS PTE. LTD.,12,,,,
493,ASTRATA GROUP PTE. LTD.,12,,,,
494,VEEV Interactive Pte Ltd,12,,,,
495,Elixir Technology Pte Ltd,12,,,,
496,ONESECURE Asia Pte Ltd,12,,,,
497,Verlocal,12,,,,
498,Motorola Solutions,12,,,,
499,ZILLIQA RESEARCH PTE. LTD.,12,,,,
500,Ishaan Informatics Pte Ltd,11,,,,
501,Eltek Power Pte Ltd,11,,,,
502,INVITROCUE PTE. LTD.,11,,,,
503,Dynamic Yield,11,,,,
504,CommScope Solutions Singapore Pte Ltd,11,,,,
505,ENVISION DIGITAL INTERNATIONAL PTE. LTD.,11,,,,
506,Intellisearch,11,,,,
507,01 Computer System Pte Ltd,11,,,,
508,Bizmann System (S) Pte Ltd,11,,,,
509,eBay,11,,,,
510,ASIAPAC DISTRIBUTION PTE LTD,11,,,,
511,AUTOSCAN TECHNOLOGY PTE LIMITED,11,,,,
512,Piktochart,11,,,,
513,Stanley Security Singapore Pte Ltd,11,,,,
514,AION Technologies Pte Ltd,11,,,,
515,AVIATION VIRTUAL PTE. LTD.,11,,,,
516,Propseller,11,,,,
517,CashShield,11,,,,
518,COMPEX SYSTEMS PTE LTD,11,,,,
519,CLAYOPS PTE. LTD.,11,,,,
520,AMPOTECH PTE. LTD.,11,,,,
521,BRIDGE MOBILE PTE. LTD.,11,,,,
522,TPG TELECOM PTE. LTD.,11,,,,
523,PEDIA PTE. LTD.,11,,,,
524,3M,11,,,Yes,
525,SINGAPORE TECHNOLOGIES ENGINEERING LTD,11,,,,
526,3SI PTE. LTD.,11,,,,
527,JY COMM PTE. LTD.,10,,,,
528,SmartStream Technologies,10,,,,
529,Amazon Asia-Pacific Holdings,10,,,Yes,
530,Temenos,10,,,,
531,Pro-Datech Systems Pte Ltd,10,,,,
532,AVAYA SINGAPORE PTE LTD,10,,,,
533,NIIT TECHNOLOGIES PTE. LTD.,10,,,,
534,Botbot.ai,10,,,,
535,Kinetica DB,10,,,,
536,J MAX SOLUTIONS,10,,,,
537,KNOT SOLUTIONS PTE. LTD.,10,,,,
538,IPS Securex Pte Ltd,10,,,,
539,KEYREPLY PTE. LTD.,10,,,,
540,Acentrix Pte Ltd,10,,,,
541,ISIS Papyrus Asia. Pacific.,10,,,,
542,APPLIED MESH PTE. LTD.,10,,,,
543,IX Mobile Pte Ltd,10,,,,
544,TCAM TECHNOLOGY PTE. LTD.,10,,,,
545,Resolvo Systems Pte Ltd,10,,,,
546,CLOUDSTREAM ASIA PACIFIC PTE. LTD.,10,,,,
547,UBAC Pte Ltd,10,,,,
548,SINGAPORE TELECOMMUNICATIONS LIMITED,10,,,,
549,OCI SYSTEM PTE. LTD.,10,,,,
550,Roycemedia Technologies Pte. Ltd.,10,,,,
551,Hashmicro Pte. Ltd.,10,,,,
552,Glory Global Solutions (S) Pte. Ltd.,10,,,,
553,MOODY'S ANALYTICS SINGAPORE PTE. LTD.,10,,,,
554,Dion Global Solutions Limited,10,,,,
555,OpenFeel Pte Ltd,10,,,,
556,Sales Bridge,10,,,,
557,Dow Technologies and system,10,,,,
558,Sartorius Stedim Singapore Pte Ltd,10,,,,
559,BlackBerry,10,,,,
560,WhooshPro Pte Ltd,10,,,,
561,Datumstruct (S) Pte Ltd,10,,,,
562,Cartrack Asia,10,,,,
563,Hapz,10,,,,
564,CARGOAI.co,10,,,,
565,Liftoff,10,,,,
566,ECLAT AV SOLUTION PTE. LTD.,10,,,,
567,Huawei International Pte. Ltd. (Southern Pacific Enterprise Business Group),10,,,Yes,
568,Mixpanel,10,,,,
569,AvePoint,9,,,,
570,EGIS HEALTHCARE TECHNOLOGIES PTE LTD,9,,,,
571,Element AI,9,,,,
572,TWILIO SINGAPORE PTE. LTD.,9,,,,
573,ST Electronics (Info-Software Systems) Pte Ltd,9,,,,
574,Ranosys Technologies,9,,,,
575,Socialbakers,9,,,,
576,EMSON SYSTEMS (S) PTE. LTD.,9,,,,
577,Design Prodigy,9,,,,
578,Sabre,9,,,,
579,SESAMI (SINGAPORE) PTE LTD,9,,,,
580,K&E Scientific (Singapore) Pte Ltd,9,,,,
581,Blue Orange Pte Ltd,9,,,,
582,Synermax Consulting Pte Ltd,9,,,,
583,MACROVISTA PTE. LTD.,9,,,,
584,MessageBird,9,,,,
585,BitTitan SG Pte Ltd,9,,,,
586,ENT-VISION PTE. LTD.,9,,,,
587,BENTO INVEST PTE. LTD.,9,,,,
588,Amazon,9,,,Yes,
589,Lunch Actually Group,9,,,,
590,ERS Industries Pte Ltd,9,,,,
591,EPIC HEALTHCARE SYSTEMS PTE. LTD.,9,,,,
592,BEYONDEDGE PTE. LTD.,9,,,,
593,Ripples IOT Pte Ltd,9,,,,
594,BIO BASIC ASIA PACIFIC PTE. LTD.,9,,,,
595,Global Crypto Offering Exchange,9,,,,
596,Institute of Materials Research & Engineering (IMRE),9,,,,
597,Omniaz,9,,,,
598,VGC TECHNOLOGY PTE. LTD.,9,,,,
599,HERSING CORPORATION PTE. LTD.,9,,,,
600,Cornerstone OnDemand,9,,,,
601,FUSE WORLDGROUP PTE LTD,9,,,,
602,Viperlink Pte Ltd,9,,,,
603,Feedzai,9,,,,
604,AlgoMerchant,9,,,,
605,GRID COMMUNICATIONS PTE. LTD.,9,,,,
606,OPENSOFT PTE. LTD.,9,,,,
607,Comservice (Singapore) Solutions Pte. Ltd.,9,,,,
608,ACM biolabs,9,,,,
609,Xindots (Qi Xiang Technology Pte.Ltd),9,,,,
610,Cadi Scientific Pte Ltd,9,,,,
611,Hootsuite,9,,,,
612,Honestbee,9,,,,
613,Collaro Classic Menswear,9,,,,
614,WeekendGoWhere,9,,,,
615,Wirecard Asia,9,,,,
616,Netpluz Asia Pte Ltd,9,,,,
617,Netiquette Software Pte Ltd,9,,,,
618,Epson Singapore Pte Ltd,9,,,,
619,INTEGRATED HEALTH INFORMATION SYSTEMS PTE. LTD.,9,,,,
620,One Third Technologies,9,,,,
621,Entrepreneur First,9,,,,
622,V-Tech Computers Pte Ltd,9,,,,
623,Activants Pte Ltd,9,,,,
624,The Stage Walk,9,,,,
625,2C2P Pte Ltd,9,,,,
626,DATAKOM (ASIA) PTE. LTD.,9,,,,
627,DACON NETWORKS PTE LTD,9,,,,
628,Progreso Networks (S) Pte Ltd,9,,,,
629,3S COMMUNICATION PTE. LTD.,9,,,,
630,3INUTE,8,,,,
631,MIXPANEL APAC PTE. LTD.,8,,,,
632,BROCADE COMMUNICATIONS SINGAPORE PTE. LTD.,8,,,,
633,METRO GLOBALSERVICES PTE. LTD.,8,,,,
634,Sapura Synergy Singapore Pte Ltd,8,,,,
635,9cv9,8,,,,
636,HCL Technologies Limited,8,,,,
637,aCommerce Pte Ltd,8,,,,
638,MANJA TECHNOLOGIES PTE. LTD.,8,,,,
639,HEARTI LAB PTE. LTD.,8,,,,
640,Setsco Services,8,,,,
641,WINCOM IT SERVICES PTE LTD,8,,,,
642,Wellness Within,8,,,,
643,Asia Focus Group,8,,,,
644,Thrymr Software,8,,,,
645,Eins Technology Pte Ltd,8,,,,
646,"THE JAPAN RESEARCH INSTITUTE, LIMITED",8,,,,
647,Tivo Technologies Pte Ltd,8,,,,
648,Infinergy Systems Solutions Pte Ltd,8,,,,
649,EZCLOUD PTE. LTD.,8,,,,
650,TELEKOMUNIKASI INDONESIA INTERNATIONAL PTE. LTD.,8,,,,
651,AXS PTE. LTD.,8,,,,
652,System Overdrive Pte Ltd,8,,,,
653,Web Imp,8,,,,
654,INFORMATICA S.E.A. PTE. LTD.,8,,,,
655,Vision Interactive,8,,,,
656,ICONZ-WEBVISIONS PTE. LTD.,8,,,,
657,Lefty Talents Group,8,,,,
658,ICOLUMN PTE. LTD.,8,,,,
659,Sinonet Technology Singapore,8,,,,
660,Sino Huawei Technologies Pte Ltd,8,,,Yes,
661,AMADEUS GDS SINGAPORE PTE. LTD.,8,,,,
662,Agilysys Singapore Pte Ltd,8,,,,
663,Cinos Pte Ltd,8,,,,
664,"Red Hat, Inc.",8,,,,
665,DIALYSS PTE. LTD.,8,,,,
666,Quantiq International Pte Ltd,8,,,,
667,Nordic IT Asia Pte Ltd,8,,,,
668,Comba Telecom Systems (S) Pte Ltd,8,,,,
669,Rapid7,8,,,,
670,RECORDED FUTURE PTE. LTD.,8,,,,
671,CARGO COMMUNITY NETWORK PTE LTD,8,,,,
672,Cloudflare,8,,,,
673,Riverview Mobile Solutions Pte. Ltd.,8,,,,
674,DSM SINGAPORE INDUSTRIAL PTE. LTD.,8,,,,
675,Optimum InfoSystem Private Limited,8,,,,
676,Root Security Pte Ltd,8,,,,
677,SIGNALGRYD,8,,,,
678,BrillantEZ Solutions Pte Ltd,8,,,,
679,Netgain Systems Pte Ltd,8,,,,
680,CDNetworks,8,,,,
681,PALO ALTO NETWORKS (SINGAPORE) PTE. LTD.,8,,,,
682,Carigos (Logistics Connection Private Limited),8,,,,
683,RACKS CENTRAL PTE. LTD.,7,,,,
684,Bells & Birds,7,,,,
685,Titansoft Singapore,7,,,,
686,CBL Data Recovery (S) Pte Ltd,7,,,,
687,Neosys Documail (S) Pte Ltd,7,,,,
688,Illumio,7,,,,
689,Evottar Pte Ltd,7,,,,
690,IXEN INTERACTIVE PTE. LTD.,7,,,,
691,The Balance Company,7,,,,
692,Taknet Systems Pte. Ltd.,7,,,,
693,Techknowledgey Pte Ltd,7,,,,
694,Institute of Bioengineering and Nanotechnology,7,,,,
695,Encryption Technology Pte Ltd,7,,,,
696,Amazon.com,7,,,Yes,
697,Providence Solutions Private Limited,7,,,,
698,NOKIA SOLUTIONS AND NETWORKS SINGAPORE PTE. LTD.,7,,,,
699,CAPPS SOLUTIONS PTE. LTD.,7,,,,
700,AntiHack.me,7,,,,
701,KAI Square,7,,,,
702,Ascend Com Pte Ltd,7,,,,
703,DOODLE LABS (SG) PTE. LTD.,7,,,,
704,KG INFORMATION SYSTEMS PTE. LTD.,7,,,,
705,Kasisto,7,,,,
706,Keans Technology Pte Ltd,7,,,,
707,Unabiz Pte Ltd,7,,,,
708,INTER-PACIFIC PETROLEUM PTE. LTD.,7,,,,
709,IRESS Market Technology Ltd,7,,,,
710,ZONJE PRIVATE LIMITED,7,,,,
711,Paktor,7,,,,
712,WORLDPAY PTE LTD,7,,,,
713,GBCI Ventures Pte. Ltd.,7,,,,
714,CommGate (S) Pte Ltd,7,,,,
715,Colossus Labs Pte Ltd,7,,,,
716,ADOBE SYSTEMS PTE. LTD.,7,,,,Yes
717,camLine Pte Ltd,7,,,,
718,Acquia,7,,,,
719,7 Eleven,7,,,,
720,eBay Inc.,7,,,,
721,GetIT Pte Ltd,7,,,,
722,iDLink Systems Pte Ltd,7,,,,
723,Guidance Software,7,,,,
724,Green Atmosphere Pte Ltd,7,,,,
725,Foptics,7,,,,
726,Pixelsquad Pte Ltd,7,,,,
727,OMNIVISION TECHNOLOGIES SINGAPORE PTE. LTD.,7,,,,
728,Fischer Instrumentation (S) Pte Ltd,7,,,,
729,CSE Global Limited,7,,,,
730,WEELOY PTE. LTD.,7,,,,
731,APTUS BUSINESS LOGIC PTE. LTD.,7,,,,
732,CS Global Group Pte Ltd,7,,,,
733,PlusMargin,7,,,,
734,Novocall,7,,,,
735,Popsical Karaoke Sdn Bhd,7,,,,
736,ASCM Sales Pte Ltd,7,,,,
737,Verz Design Pte Ltd,7,,,,
738,Factual,7,,,,
739,Procurri Corporation Limited,7,,,,
740,CrescentRating,7,,,,
741,VEGA PROJECT PTE. LTD.,7,,,,
742,Keysight Technologies Singapore,7,,,,
743,LDR Pte Ltd,7,,,,
744,SEROLE TECHNOLOGIES PTE. LTD.,7,,,,
745,Microtel Technology Pte Ltd,7,,,,
746,Starcomm Solutions Pte Ltd,7,,,,
747,SAP Ariba,7,,,Yes,
748,"SGTech, Talentguru",7,,,,
749,Danish Design Co,7,,,,
750,MEDIATECH MARKETING PTE LTD,7,,,,
751,BIGO TECHNOLOGY PTE. LTD.,7,,,,
752,LENOVO (SINGAPORE) PTE. LTD.,7,,,,
753,SAS INSTITUTE PTE LTD,7,,,,
754,Boogle Group Limited,7,,,,
755,SuperInternet (S) Pte Ltd,7,,,,
756,EMINET PTE. LTD.,7,,,,
757,Motherhouse (SG) Pte Ltd,7,,,,
758,BetaSight,7,,,,
759,Smart-wares Pte Ltd,7,,,,
760,SIGI BEAUTY PTE. LTD.,7,,,,
761,NAIISE PTE. LTD.,7,,,,
762,Solution Details Pte Ltd,7,,,,
763,SALTMINE PTE. LTD.,7,,,,
764,"Monstar Lab, Inc.",7,,,,
765,Bit Titan,7,,,,
766,Michael Trio,6,,,,
767,Singapore Data Hub Pte Ltd,6,,,,
768,BITSMEDIA PTE. LTD.,6,,,,
769,Portcast,6,,,,
770,Sensetime International,6,,,,
771,ASYLUM CREATIVE PTE. LTD.,6,,,,
772,INNOVAX SYSTEMS PTE LTD,6,,,,
773,Veeva,6,,,,
774,LogRhythm,6,,,,
775,Dassault Systèmes,6,,,,
776,ITO Security Pte Ltd,6,,,,
777,Ezytronic Pte Ltd,6,,,,
778,Crest Innovation (S) Pte Ltd,6,,,,
779,Netability (Singapore) Pte Ltd,6,,,,
780,AZ TELECOMMUNICATIONS PTE. LTD.,6,,,,
781,INTEL MOBILE COMMUNICATIONS SOUTH EAST ASIA PTE. LTD.,6,,,,
782,Vector Magnetics Pte. Ltd.,6,,,,
783,Netguardians Singapore Pte Ltd,6,,,,
784,Lovebonito Singapore Pte Ltd,6,,,,
785,COMTEL Solutions Pte. Ltd.,6,,,,
786,NexLabs Pte Ltd,6,,,,
787,NuMoney,6,,,,
788,Aspire Systems Consulting Private Limited,6,,,,
789,VISTEK PTE. LTD,6,,,,
790,ANTlabs Pte Ltd,6,,,,
791,Decod Science & Technology Pte Ltd,6,,,,
792,STAR ARRAY PTE. LTD.,6,,,,
793,ACUUTECH PTE. LTD.,6,,,,
794,ACTS Market Pte Ltd,6,,,,
795,GOOGLE INC.,6,,,,
796,Zermatt (S) Pte Ltd,6,,,,
797,GREYPANEL PTE. LTD.,6,,,,
798,Zuzu Pte Ltd,6,,,,
799,PIGEONLAB PTE. LTD.,6,,,,
800,Dematic,6,,,,
801,Ding He Ecommerce Pte. Ltd.,6,,,,
802,Genesys Solutions Pte Ltd,6,,,,
803,SMTS Pte Ltd,6,,,,
804,Beaqon Pte Ltd,6,,,,
805,Clarivate Analytics,6,,,,
806,Madthread Pte Ltd,6,,,,
807,YES PLUM SINGAPORE PRIVATE LIMITED,6,,,,
808,Dishdash,6,,,,
809,GLOBECAST ASIA PTE LTD,6,,,,
810,MapR,6,,,,
811,Casterly Pte Ltd,6,,,,
812,AFON Pte Ltd,6,,,,
813,PROTOSOFT SOLUTIONS PTE. LTD.,6,,,,
814,Wavel,6,,,,
815,ORANGEKLOUD PTE. LTD.,6,,,,
816,MERCANTILE PACIFIC ASIA PTE. LTD.,6,,,,
817,AHREFS PTE. LTD.,6,,,,
818,Hyper Anna,6,,,,
819,AIDA Technologies,6,,,,
820,WISE MPAY PTE LTD,6,,,,
821,Computergate Asia Pte Ltd,6,,,,
822,Florray Pte Ltd,6,,,,
823,SERVICENOW PTE. LTD.,6,,,,Yes
824,Ignify,6,,,,
825,Qi Xiang Technology Pte Ltd (Bao He Group),6,,,,
826,Jabra,6,,,,
827,QuantumLeap Career Consultancy,6,,,,
828,Boogle Private Limited,6,,,,
829,L3 Homeation Pte Ltd,6,,,,
830,Easy HR Pte Ltd,6,,,,
831,Red Hare Studios,6,,,,
832,DUALOG SINGAPORE PTE LTD,6,,,,
833,Ivanti,6,,,,
834,Oregano Trading Pte Ltd,6,,,,
835,NEW ACCESS ASIA PTE. LTD.,6,,,,
836,Enovec Pte Ltd,6,,,,
837,TECHFOUNT SYSTEMS PTE LTD,6,,,,
838,CCH ASIA PTE LIMITED,6,,,,
839,Rohde & Schwarz Regional Headquarters Singapore Pte Ltd,6,,,,
840,Insiro Pte Ltd,6,,,,
841,Internap,6,,,,
842,NETWEB PTE. LTD.,6,,,,
843,Techkinetics Pte Ltd,6,,,,
844,Soft Pro,6,,,,
845,RPI eSolutions Pte Ltd,6,,,,
846,SolarWinds,6,,,,
847,ETH Zurich,6,,,,
848,Tableau Software,6,,,,
849,"JDA Software Group, Inc.",6,,,,
850,Kony,6,,,,
851,Rimini Street,6,,,,
852,UIPATH PTE. LTD.,6,,,,
853,QUANTUM CONSULTANCY SERVICES PTE LTD,6,,,,
854,Ashtrodite Pte Ltd,6,,,,
855,Edit Suits Co,6,,,,
856,JETMOBILE PTE. LTD.,6,,,,
857,TAG TEAM INC. PTE. LTD.,6,,,,
858,Arch Software Intelligence Pte. Ltd.,6,,,,
859,NEW PROSPERITY ELECTRICAL PTE LTD,6,,,,
860,EduCoin,6,,,,
861,Mac Friends Pte Ltd,6,,,,
862,POLYCOM ASIA PACIFIC PTE. LTD.,5,,,,
863,POWERSERVE PTE LTD,5,,,,
864,WebSatMedia Pte Ltd,5,,,,
865,K3 Business Technology Group,5,,,,
866,Jotron Asia Pte Ltd,5,,,,
867,HalalTrip,5,,,,
868,X0PA AI PTE. LTD.,5,,,,
869,HUS UNMANNED SYSTEMS PTE. LTD.,5,,,,
870,SUNWAY DIGITAL PTE. LTD.,5,,,,
871,HYPERCUBE CONSULTING PTE. LTD.,5,,,,
872,WorkTable Pte Ltd,5,,,,
873,SUNNIC PTE. LTD.,5,,,,
874,HR EASILY PTE. LTD.,5,,,,
875,HYDRA SYSTEMS & SOLUTIONS PTE LTD,5,,,,
876,Imin Technology Pte Ltd,5,,,,
877,NETMARKS SINGAPORE PTE. LTD.,5,,,,
878,Olive & Adam Pte Ltd,5,,,,
879,PALL FILTRATION PTE LTD,5,,,,
880,SIMPLYPOST ASIA PTE LTD,5,,,,
881,ilog,5,,,,
882,PANZER TECHNOLOGY PTE. LTD.,5,,,,
883,Riot Games,5,,,,
884,Maison 21G,5,,,,
885,PEGASYSTEMS PTE LTD,5,,,,
886,T-Mobile,5,,,,
887,SNAAAP PTE. LTD.,5,,,,
888,Ooyala,5,,,,
889,OneEmpower Pte Ltd,5,,,,
890,eightyeight Solutions Pte Ltd,5,,,,
891,HERE SOLUTIONS SINGAPORE PTE. LTD.,5,,,,
892,KKBOX International Limited Singapore Branch,5,,,,
893,NETLINK TRUST OPERATIONS COMPANY PTE. LTD.,5,,,,
894,Omni-Comm Pte Ltd,5,,,,
895,Omise,5,,,,
896,Omega Scientific Pte Ltd,5,,,,
897,Zoom Video Communications,5,,,,
898,ZenTech Solutions Pte Ltd,5,,,,
899,Zealot Digital Pte Ltd,5,,,,
900,MERIDIAN IT SOLUTIONS PTE. LTD.,5,,,,
901,You Technologies Group (Singapore) Pte. Ltd.,5,,,,
902,Yinda Pte ltd,5,,,,
903,TECHSOURCE SYSTEMS PTE LTD,5,,,,
904,Malwarebytes,5,,,,
905,SIFT ANALYTICS GROUP PTE. LTD.,5,,,,
906,PRESENCE OF IT PTE. LTD.,5,,,,
907,TGS ENTERPRISE NETWORKS PTE. LTD.,5,,,,
908,VOLTRIUM SYSTEMS PTE LTD,5,,,,
909,PramWash Pte Ltd,5,,,,
910,SnappyFly,5,,,,
911,INFOWARE SYSTEMS(S) PTE LTD,5,,,,
912,The Nutrition Clinic,5,,,,
913,Nexlec,5,,,,
914,Infoware Singapore Pte.Ltd.,5,,,,
915,Smartup,5,,,,
916,LeaseWeb,5,,,,
917,Timeless Gifts Pte Ltd,5,,,,
918,INTRALINKS ASIA PACIFIC PTE. LTD.,5,,,,
919,VENIAM ASIA PTE. LTD.,5,,,,
920,InfoCepts,5,,,,
921,Liquidpay Singapore,5,,,,
922,Toppan Management Systems (S) Pte Ltd,5,,,,
923,Info-Technologies & Trade Pte Ltd,5,,,,
924,Infinity Networks Solutions Pte Ltd,5,,,,
925,Uniweb Pte Ltd,5,,,,
926,Rubrik,5,,,,
927,In Mind Computing,5,,,,
928,Motherhouse (S) Pte. Ltd.,5,,,,
929,UNSCRAMBL SINGAPORE PTE. LTD.,5,,,,
930,Q2 Solutions,5,,,,
931,QTS GLOBAL PTE. LTD.,5,,,,
932,UnPackt Pte Ltd,5,,,,
933,Innotel Solutions Pte Ltd,5,,,,
934,IMPERIUM SOLUTIONS PTE. LTD.,5,,,,
935,IMETRICS PTE. LTD.,5,,,,
936,N2 HUB PTE. LTD.,5,,,,
937,Hasiana PTE LTD,5,,,,
938,Herd Hr Private Limited,5,,,,
939,Waistlab,5,,,,
940,Holistics Software,5,,,,
941,Horangi Cyber Security,5,,,,
942,Skyline Communications (BE),5,,,,
943,Hyland,5,,,,
944,JBT TECHNOLOGY PTE. LTD.,5,,,,
945,JAREE SMITHE PTE. LTD.,5,,,,
946,Global Health Byte Pte Ltd,5,,,,
947,Rockbell International Software Pte Ltd,5,,,,
948,SGLab,5,,,,
949,IMAGE ENGINE PTE. LTD.,5,,,,
950,Intergraph Process Power and Offshore Pte Ltd,5,,,,
951,Sandbox,5,,,,
952,SERVICE COMMUNICATION INTERNATIONAL PTE LTD,5,,,,
953,Vistex,5,,,,
954,LIFERAY SINGAPORE PTE. LTD.,5,,,,
955,IFOCUS PTE LTD,5,,,,
956,RIMAGE DIGITAL PRIVATE LIMITED,5,,,,
957,LINKWISE TECHNOLOGY PTE. LTD.,5,,,,
958,LOGISFLEET PTE. LTD.,5,,,,
959,LOUIS VUITTON (SINGAPORE) PTE. LTD.,5,,,,
960,IM3 ASIA PTE. LTD.,5,,,,
961,T-SYSTEMS SINGAPORE PTE. LTD.,5,,,,
962,xEdge Consultancy Pte Ltd,5,,,,
963,Argent Software,5,,,,
964,Enovax Pte Ltd,5,,,,
965,Dotcom Delivery Pte Ltd,5,,,,
966,CenturyLink,5,,,,
967,DIVERGENT TECHNOLOGIES PTE. LTD.,5,,,,
968,ACL Services (Singapore) Pte Ltd,5,,,,
969,Black Box Network Services,5,,,,
970,BizCube Solutions Pte Ltd,5,,,,
971,DP TECHNOLOGY PTE LTD,5,,,,
972,FCS Computer Systems (S) Pte Ltd,5,,,,
973,ENVISION DIGITAL SINGAPORE PTE. LTD.,5,,,,
974,GRASSHOPPER PTE. LTD.,5,,,,
975,ForeScout,5,,,,
976,Axway,5,,,,
977,Botsync Pte Ltd,5,,,,
978,Entrepreneur First Team,5,,,,
979,Concur Technologies,5,,,,
980,Cloud Care Pte Ltd,5,,,,
981,BRONXCULTURE PTE. LTD.,5,,,,
982,BRISTARS,5,,,,
983,Cloud Industry Group Pte Ltd,5,,,,
984,CloudHealth Technologies,5,,,,
985,EQUINIX SINGAPORE PTE. LTD.,5,,,,
