,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
2042,Font Creative Pte Ltd,1,,,,
2043,GMS GLOBAL MEDIA SERVICES PTE. LTD.,1,,,,
2044,ADDON SYSTEMS PTE LTD,1,,,,
2045,Akamai Technologies,1,,,,
2046,ACE PERIPHERALS PTE. LTD.,1,,,,
2047,Gaius Walks,1,,,,
2048,Taylor Shoe & Co,1,,,,
2049,HYPERHAUL PTE. LTD.,1,,,,
2050,ZANROO PTE. LTD.,1,,,,
2051,VELOX NETWORKS PL,1,,,,
2052,FeetCare Pte Ltd,1,,,,
2053,ICAS TECHNOLOGY (S) PTE LTD,1,,,,
2054,First Code Academy - CodeCoach,1,,,,
2055,Techtra Solutions Pte Ltd,1,,,,
2056,VELDIS EXPERIENCE PTE. LTD.,1,,,,
2057,Telimax Technology (s) Pte Ltd,1,,,,
2058,Wallex Technologies Pte. Ltd,1,,,,
2059,IBD Technology,1,,,,
2060,VCC PTE. LTD.,1,,,,
2061,Taxi Baby Co.,1,,,,
2062,AGATOS SOFTWARE ENGINEERING PTE LTD,1,,,,
2063,Tasty Duck Salted Egg,1,,,,
2064,White Trousseau,1,,,,
2065,TWO APP STUDIO PTE. LTD.,1,,,,
2066,AITEK SERVICES PTE. LTD.,1,,,,
2067,Ann Teoh,1,,,,
2068,Anchanto,1,,,,
2069,Tag Studio Pte Ltd,1,,,,
2070,Tagstyle Pte Ltd,1,,,,
2071,WISW TECHNOLOGY HOLDINGS PTE. LTD.,1,,,,
2072,VERINON TECHNOLOGY SOLUTIONS PTE. LTD.,1,,,,
2073,Anaplan,1,,,,
2074,AI Singapore,1,,,,
2075,Halohebe,1,,,,
2076,AGILITY LOGISTICS SERVICES PTE. LTD.,1,,,,
2077,ZNT SINGAPORE PTE LTD,1,,,,
2078,Tallis,1,,,,
2079,Yonyou (singapore) Pte Ltd,1,,,,
2080,YoRipe,1,,,,
2081,Yishion Singapore Pte Ltd,1,,,,
2082,Hoomie Inc,1,,,,
2083,Aleph,1,,,,
2084,YOUR STYLE QUO (I- Strada Pte. Ltd. ),1,,,,
2085,The Prefecture Pte Ltd,1,,,,
2086,The Sophia Label,1,,,,
2087,ARRIS SINGAPORE PTE. LTD.,1,,,,
2088,Alcom Electronics Pte Ltd,1,,,,
2089,The Ultimate Software Group of Asia Pte. Ltd...,1,,,,
2090,The Nurturing Co,1,,,,
2091,The Union Pte Ltd,1,,,,
2092,ACONEX,1,,,,
2093,UpFrontLiving Pte Ltd,1,,,,
2094,The Wedding & Co,1,,,,
2095,YIELDIFY SINGAPORE PTE. LTD.,1,,,,
2096,Themesoft Inc Pte.Ltd.,1,,,,
2097,HOGA IYOTA COMMUNICATIONS & TECHNOLOGY (S) PTE. LTD.,1,,,,
2098,Ace Turtle Global,1,,,,
2099,HIGH FLYERS GROUP PRIVATE LIMITED,1,,,,
2100,Frontier e-HR,1,,,,
2101,Terroir Pte Ltd,1,,,,
2102,Aligned Business Pte Ltd,1,,,,
2103,The Bespoke Club (Uomo Group),1,,,,
2104,Yan Yuan Ptd Ltd,1,,,,
2105,GENIQ PTE LTD,1,,,,
2106,The Bud Box SG,1,,,,
2107,The Company Private Limited,1,,,,
2108,GLOBAL DOT COM PTE. LTD.,1,,,,
2109,Yamayo Technology Pte Ltd,1,,,,
2110,The Conscious Lifestyle Pte Ltd,1,,,,
2111,The Dancing Jewels,1,,,,
2112,GIFTS LESS ORDINARY PTE. LTD.,1,,,,
2113,Web-Economy Technology Pte Ltd,1,,,,
2114,YTS Servies Marketing Pte Ltd,1,,,,
2115,Taiger,1,,,,
2116,Lomotif Inc.,1,,,,
2117,INTEGRATED DECISION SYSTEMS CONSULTANCY PTE LTD,1,,,,
2118,KWONTUHM PTE. LIMITED,1,,,,
2119,OCEAN FREIGHT EXCHANGE PTE. LTD.,1,,,,
2120,Kkday International,1,,,,
2121,Kiwi Pte.Ltd.,1,,,,
2122,ERAJAYA SWASEMBADA PTE. LTD.,1,,,,
2123,Comworth Solutions Pte. Ltd.,1,,,,
2124,ComplyAdvantage,1,,,,
2125,ComnetSolutions,1,,,,
2126,Kehjihou Pte Ltd,1,,,,
2127,ORASTREAM PRIVATE LIMITED,1,,,,
2128,ORIGIN ASIAN LIFESCIENCE PTE LTD,1,,,,
2129,OTM Solutions Pte Ltd,1,,,,
2130,OTSAW Digital Pte Ltd,1,,,,
2131,OVERDRIVE IOT PTE. LTD.,1,,,,
2132,Kearea Pte Ltd,1,,,,
2133,Odafy Pte Ltd,1,,,,
2134,Oktomatic Business Solutions Pte Ltd,1,,,,
2135,Cohesion Network Technologies Pte Ltd,1,,,,
2136,Oliveasia Pte Ltd,1,,,,
2137,ETECHNOLOGY CENTRE PTE. LTD.,1,,,,
2138,Codexia Studios,1,,,,
2139,Omni App Solutions Pte Ltd,1,,,,
2140,Coach Operations Pte Ltd,1,,,,
2141,Omnisys Technologies Pte Ltd,1,,,,
2142,Omnitoons,1,,,,
2143,Kaiju Den Pte Ltd,1,,,,
2144,Nutanix,1,,,,
2145,Nugit Pte Ltd.,1,,,,
2146,Connecting Life Pte Ltd,1,,,,
2147,Nextlabs International Pte Ltd,1,,,,
2148,Cresco Data Singapore,1,,,,
2149,Cresco Data,1,,,,
2150,Createsoft Group Pte Ltd,1,,,,
2151,Netsense Business Solutions,1,,,,
2152,Neuroten Pte Ltd,1,,,,
2153,Nex Venture,1,,,,
2154,NexRealm Productions (HADO Singapore),1,,,,
2155,Kyriba,1,,,,
2156,Coty Prestige SEA,1,,,,
2157,Corsiva Lab Pte Ltd,1,,,,
2158,Knowledge Touch Pte Ltd,1,,,,
2159,Nijvest Asia Pte Ltd,1,,,,
2160,Nucleus Software Solutions Pte ltd,1,,,,
2161,Nityo Infotech,1,,,,
2162,Corporate IT Solutions Pte Ltd,1,,,,
2163,No Harm Done Pte Ltd,1,,,,
2164,Cori Traveller,1,,,,
2165,Coolasia Technology Pte Ltd,1,,,,
2166,Novade Solutions Pte Ltd,1,,,,
2167,Control Union Singapore Pte Ltd,1,,,,
2168,Content.co,1,,,,
2169,Knowledge Management Solutions Pte Ltd,1,,,,
2170,Knowesis Pte Ltd,1,,,,
2171,Knapshot Pte Ltd,1,,,,
2172,Cloak Pte. Ltd.,1,,,,
2173,ETERE PTE. LTD.,1,,,,
2174,Custom Cards,1,,,,
2175,Optimai Pte Ltd,1,,,,
2176,PLANT WERX PTE LTD,1,,,,
2177,PLAY Creatives Pte Ltd,1,,,,
2178,EVER HIGHER PTE. LTD.,1,,,,
2179,PONY ASIA HOLDINGS PTE LTD,1,,,,
2180,Ceito,1,,,,
2181,KEAWORLD PTE. LTD.,1,,,,
2182,Carro Singapore (Trusty Cars Pte Ltd),1,,,,
2183,PRINT FOR FUN,1,,,,
2184,PRO-DATALGI SINGAPORE PTE. LTD.,1,,,,
2185,PROMEGA PTE. LTD.,1,,,,
2186,Earnest and Collective Pte Ltd,1,,,,
2187,Carma Asia,1,,,,
2188,Paco Funworld,1,,,,
2189,Cardable,1,,,,
2190,Palazon Technology Pte Ltd,1,,,,
2191,Earthcore Software Pte Ltd,1,,,,
2192,Capgemini Financial Services,1,,,,
2193,Jusfeedback Pte Ltd,1,,,,
2194,Pantheon Inc.,1,,,,
2195,CYBERWAVE IT SOLUTIONS PTE. LTD.,1,,,,
2196,Parasoft SEA Pte Ltd,1,,,,
2197,Partnerize,1,,,,
2198,Jump Eat Cry Maternity,1,,,,
2199,Echol Tech Pte. Ltd.,1,,,,
2200,Johnsonville,1,,,,
2201,PLANORAMA,1,,,,
2202,KEYFIELDS PTE. LTD.,1,,,,
2203,PIPO Pte.Ltd (Bao He Group) – Singapore,1,,,,
2204,P23 Ventures Pte Ltd,1,,,,
2205,Clearly Basics,1,,,,
2206,ETERNAL ASIA (S) PTE. LTD.,1,,,,
2207,Oracle,1,,,Yes,
2208,Cio Academy Asia,1,,,,
2209,Ciena Communications,1,,,,
2210,KKday Sevices (M) Sdn Bhd,1,,,,
2211,EUCHARIST-TECH PTE. LTD.,1,,,,
2212,Christian Dior,1,,,,
2213,Orfeostory,1,,,,
2214,Organics-Plus Pte Ltd,1,,,,
2215,Oriental Royalty Singapore Pte Ltd,1,,,,
2216,China Great Wall Computer (H.K.) Holding Limited,1,,,,
2217,PIPO Pte. Ltd. (Bao He Group),1,,,,
2218,Cheung Wo Food Supply,1,,,,
2219,KINGTECH PTE. LTD.,1,,,,
2220,PANECO SINGAPORE PTE. LTD.,1,,,,
2221,Check Point Software Technologies Ltd.,1,,,,
2222,KIDSLOVR PTE. LTD.,1,,,,
2223,PCB GraphTech Pte Ltd,1,,,,
2224,Charakue Pte Ltd,1,,,,
2225,PHOTIZO GLOBAL PTE. LTD.,1,,,,
2226,PIASIM CORPORATION PRIVATE LIMITED,1,,,,
2227,Cerekon,1,,,,
2228,PIPO Pte Ltd (Bao He Group),1,,,,
2229,LANWORKS PTE LTD,1,,,,
2230,EPISCRIPT SOLUTIONS PTE. LTD.,1,,,,
2231,INTENSECOMP PTE. LTD.,1,,,,
2232,Denodo Technologies,1,,,,
2233,MINT PAYMENTS ASIA PTE. LTD.,1,,,,
2234,Dining Butler,1,,,,
2235,Dimension Data Singapore Pte Ltd,1,,,,
2236,EDGEWORKS SOLUTIONS PTE. LTD.,1,,,,
2237,MOVEL AI PTE. LTD.,1,,,,
2238,MQ COMMUNICATIONS PTE. LTD.,1,,,,
2239,MS Microsystems,1,,,,
2240,LeadIQ,1,,,,
2241,Dimension Data,1,,,,
2242,MVL Foundation Pte Ltd,1,,,,
2243,EFUSION TECHNOLOGY PTE. LTD.,1,,,,
2244,Lane Crawford Singapore,1,,,,
2245,Macshop Pte Ltd,1,,,,
2246,LambdaMu Games,1,,,,
2247,Dig Inn Pte Ltd,1,,,,
2248,Make Up For Ever,1,,,,
2249,Diaper Cakes Baby Gift Hamper Singapore,1,,,,
2250,Dexecure,1,,,,
2251,DewTouch Innovations Pte,1,,,,
2252,Devialet Asia Pte Ltd,1,,,,
2253,Deskera Singapore Pte. Ltd.,1,,,,
2254,Marketstall Trading Pte Ltd,1,,,,
2255,Massive Infinity,1,,,,
2256,Deskera,1,,,,
2257,Mattherns Pte Ltd,1,,,,
2258,Dion,1,,,,
2259,Dishdash.co,1,,,,
2260,MGR OFFICE SOLUTIONS PTE. LTD.,1,,,,
2261,MARCHWOOD LABORATORY SERVICES PTE. LTD.,1,,,,
2262,EACIIT VYASA PTE. LTD.,1,,,,
2263,Lucy And Mui Private Limited,1,,,,
2264,EASTCOMPEACE (SINGAPORE) PTE. LTD.,1,,,,
2265,L’oréal Singapore,1,,,,
2266,Dynamicweb Solutions Asia,1,,,,
2267,Little Suite Pte. Ltd,1,,,,
2268,MACH7 TECHNOLOGIES PTE LTD,1,,,,
2269,Dow Techologies and System,1,,,,
2270,MADThread Singapore Pte Ltd,1,,,,
2271,MAGES STUDIO PRIVATE LIMITED,1,,,,
2272,Linkz Asia Holdings Pte Ltd,1,,,,
2273,Linecy Private Limited,1,,,,
2274,MGG Software Pte Ltd,1,,,,
2275,Linearverve International Private Limited,1,,,,
2276,MASTER CONCEPT SINGAPORE PTE. LTD.,1,,,,
2277,MATICA TECHNOLOGIES PTE. LTD.,1,,,,
2278,MAXIAS DX PTE. LTD.,1,,,,
2279,MB Enterpryze Cloudware,1,,,,
2280,ECI LOCALIZATION PTE. LTD.,1,,,,
2281,Dow Technologies and Syetems,1,,,,
2282,Lenskart,1,,,,
2283,Doropu Pte Ltd,1,,,,
2284,Doki Doki Pte Ltd,1,,,,
2285,MERIMEN TECHNOLOGIES (SINGAPORE) PTE. LTD.,1,,,,
2286,Laird Technologies (SEA) Pte Ltd,1,,,,
2287,Mediaworkz Singapore,1,,,,
2288,Nekojam,1,,,,
2289,Mediaworkz Singapore (Bao He Group) – Singapore,1,,,,
2290,My E-shop,1,,,,
2291,DTAL TECHNOLOGIES PTE. LTD.,1,,,,
2292,NAIT Consulting Services Pte Ltd,1,,,,
2293,DSMR Group Pte Ltd,1,,,,
2294,DR. WOLFF SINGAPORE PTE. LTD.,1,,,,
2295,LEMNIS TECHNOLOGIES PTE. LTD.,1,,,,
2296,NET-SOURCE GROUP PTE. LTD.,1,,,,
2297,NETAPP SINGAPORE PTE. LTD.,1,,,,
2298,LECIP (SINGAPORE) PTE. LTD.,1,,,,
2299,DMK (Singapore) Pte Ltd,1,,,,
2300,NETe2 Asia,1,,,,
2301,NEUIS PTE. LTD.,1,,,,
2302,LEAP,1,,,,
2303,LEAGOO PTE. LTD.,1,,,,
2304,NEXWAVE TELECOMS PTE. LTD.,1,,,,
2305,DIGIGRAM ASIA PTE LIMITED,1,,,,
2306,DGBOX Logistics LLP,1,,,,
2307,NOVELA Pte Ltd (Beauty),1,,,,
2308,DENRON Computers & Networks,1,,,,
2309,DELEXON ROBOTIC PTE. LTD.,1,,,,
2310,DAYLIGHT STUDIOS PTE. LTD.,1,,,,
2311,NaNa Reve De La,1,,,,
2312,Nanigans,1,,,,
2313,Cypress Labs Pte Ltd,1,,,,
2314,Cycle & Carriage Kia Pte Ltd,1,,,,
2315,My Dream Wedding,1,,,,
2316,Mozat Pte Ltd,1,,,,
2317,Darsala,1,,,,
2318,Microsoft,1,,,Yes,
2319,Dennemeyer (SEA) Pte Ltd,1,,,,
2320,Mellow Life Pte Ltd,1,,,,
2321,Delivery Hero Singapore Pte Ltd,1,,,,
2322,Meraki Decoration,1,,,,
2323,Mescada Pte Ltd,1,,,,
2324,Meyer Food,1,,,,
2325,ELC PTE. LTD.,1,,,,
2326,LOGITECH SINGAPORE PTE. LTD.,1,,,,
2327,EMAGIC PTE. LTD.,1,,,,
2328,Datum Technology Pte Ltd,1,,,,
2329,Dathena Science,1,,,,
2330,LOGICODE PTE LTD,1,,,,
2331,Darts Distribution,1,,,,
2332,Mint Interactive,1,,,,
2333,Mint Museum of Toys (MMOT),1,,,,
2334,Miz Phenix International Pte Ltd,1,,,,
2335,Databricks,1,,,,
2336,Monspace (S) Pte Ltd,1,,,,
2337,DataKrew,1,,,,
2338,Monstar-Lab Singapore,1,,,,
2339,Moonlight Joaillerie,1,,,,
2340,Morpheus Labs Pte Ltd,1,,,,
2341,Data Clean Asia Pte Ltd,1,,,,
2342,Darwiin,1,,,,
2343,Perle Systems Asia Pacific Pte Ltd,1,,,,
2344,PerroCo.,1,,,,
2345,Petal Elements,1,,,,
2346,SYMANTEC ASIA PACIFIC PTE. LTD.,1,,,,
2347,"Love, Akiko",1,,,,
2348,Information Sciences Pte Ltd,1,,,,
2349,Banffcyber Technologies,1,,,,
2350,Ban Leong Technologies Limited,1,,,,
2351,EpiCentre Pte Ltd,1,,,,
2352,Baliza Partners Pte Ltd,1,,,,
2353,SOHO PROPERTY PTE. LTD. -,1,,,,
2354,BYTEWORKS INTERNATIONAL PTE LTD,1,,,,
2355,Infoplus Solutions Pte Ltd,1,,,,
2356,Infogain Pted Ltd,1,,,,
2357,Infocorp Technologies Pte Ltd,1,,,,
2358,BUSHY SIGSUG LTD.,1,,,,
2359,BUILDINGLINK.ASIA PTE. LTD.,1,,,,
2360,BTS SOLUTION SERVICES PTE LTD,1,,,,
2361,BT Singapore Pte Ltd,1,,,,
2362,STARTIN POINT PTE. LTD.,1,,,,
2363,STARVIEW INTERNATIONAL PTE. LTD.,1,,,,
2364,BT,1,,,,
2365,Epiphany,1,,,,
2366,STRATACACHE ASIA-PACIFIC PTE. LTD.,1,,,,
2367,STSTC Pte Ltd,1,,,,
2368,BSC,1,,,,
2369,SUMMER TELECOM PTE LTD,1,,,,
2370,BROOKS AUTOMATION (SINGAPORE) PTE. LTD.,1,,,,
2371,Escher Asia Pacific Pte Ltd,1,,,,
2372,SKYLINE INFO TECHNOLOGIES PTE. LTD.,1,,,,
2373,SINGMAP Pte. ltd.,1,,,,
2374,SINGAPORE VCYBER TECHNOLOGY PTE. LTD.,1,,,,
2375,SGPomades Trading Pte Ltd,1,,,,
2376,SECUREX GS PTE. LTD,1,,,,
2377,SENSE INFOSYS PTE. LTD.,1,,,,
2378,BitTitan,1,,,,
2379,Bison marketing company,1,,,,
2380,SES Networks,1,,,,
2381,Birch Creatives Asia Pte Ltd,1,,,,
2382,SETTINGIT UNICORN PTE. LTD.,1,,,,
2383,Energy Wave Worldwide,1,,,,
2384,SG Comp-Tech Pte Ltd,1,,,,
2385,SG EventMart,1,,,,
2386,SG Interactive Pte Ltd,1,,,,
2387,Inspireo Media Pte Ltd,1,,,,
2388,Bee Cheng Hiang,1,,,,
2389,Engineering Support Associate,1,,,,
2390,Biggworld,1,,,,
2391,SHINETOWN TELECOM (S) PTE LTD,1,,,,
2392,Enigma Marketing Inc.,1,,,,
2393,Bigg World,1,,,,
2394,Enterprise It Services Pte. Ltd,1,,,,
2395,SIGMACONSO ASIA PTE. LTD.,1,,,,
2396,Benjamin Barker,1,,,,
2397,Belkin,1,,,,
2398,SINGAPORE COMMUNICATIONS CO PTE. LTD.,1,,,,
2399,SINGAPORE DATA GROUP PTE. LTD.,1,,,,
2400,Esco Micro Pte Ltd,1,,,,
2401,Infiniti Jewels (By Diastar) Since 1982 Pte Ltd,1,,,,
2402,Petite Cosmetics Pte Ltd,1,,,,
2403,BREATHE CONSULTING PTE. LTD.,1,,,,
2404,IS GLOBAL SERVICES PTE. LTD.,1,,,,
2405,SimonsVoss Security Technologies (Asia) Pte Ltd,1,,,,
2406,Simplified Technology Pte Ltd,1,,,,
2407,Singapore Asia Pacific,1,,,,
2408,Eyeota Pte Ltd,1,,,,
2409,BIAM TECHNOLOGY PTE LTD,1,,,,
2410,BETTER IT PTE. LTD.,1,,,,
2411,FALCON Digital Pte Ltd,1,,,,
2412,Sip,1,,,,
2413,BEENET SINGAPORE PTE LTD,1,,,,
2414,Skin Balance Pte Ltd,1,,,,
2415,Skinx,1,,,,
2416,BBM GROUP PTE. LTD.,1,,,,
2417,Skylab Holding Pte Ltd,1,,,,
2418,Smart Walkie Pte Ltd,1,,,,
2419,Smartblock Pte Ltd,1,,,,
2420,FARONICS PTE. LTD.,1,,,,
2421,Smecen,1,,,,
2422,Socionext Technology,1,,,,
2423,SodaInMind Pte Ltd,1,,,,
2424,Aw's Market,1,,,,
2425,Softship Data Processing Pte Ltd,1,,,,
2426,INTERSOLN PTE. LTD.,1,,,,
2427,Soundzipper,1,,,,
2428,Sourced Group Singapore,1,,,,
2429,Silverlake Sheaf Pte Ltd,1,,,,
2430,Silver Edge Solutions Pte. Ltd.,1,,,,
2431,ISIS Papyrus,1,,,,
2432,Iknow Pte Ltd,1,,,,
2433,SYSQUEST TECHNOLOGY PTE LTD,1,,,,
2434,Sage9 Pte Ltd,1,,,,
2435,Saha Marketing (S) Pte Ltd,1,,,,
2436,BOAR TECHNOLOGY PTE.LTD,1,,,,
2437,BMWPartsCo,1,,,,
2438,Salesforce,1,,,Yes,Yes
2439,Samstar Galerie Asia-Pacific (S) P/L,1,,,,
2440,BLUMONT GROUP LTD.,1,,,,
2441,Esko-Graphics Pte Ltd,1,,,,
2442,BLUECUBE MEDIA PTE. LTD.,1,,,,
2443,Schutze Web Engineering Pte. Ltd.,1,,,,
2444,Searce Pte Limited,1,,,,
2445,ShopBack Singapore,1,,,,
2446,Secura Group Limited,1,,,,
2447,BLACK Barista Coffee World,1,,,,
2448,Sendhelper Pte Ltd.,1,,,,
2449,BIZPOINT INTERNATIONAL PTE. LTD.,1,,,,
2450,Igine,1,,,,
2451,BIOMED DIAGNOSTICS PTE LTD,1,,,,
2452,IVOLUTE TECHNOLOGIES PRIVATE LIMITED,1,,,,
2453,Sharker Technology Pte Ltd,1,,,,
2454,ShinnPark Pte Ltd,1,,,,
2455,Shonan Design (S) Pte Ltd,1,,,,
2456,Shop Right Supermarket Pte Ltd,1,,,,
2457,SEAWAY CONTROL SYSTEMS PTE. LTD.,1,,,,
2458,SEACAD TECHNOLOGIES PTE LTD,1,,,,
2459,SEA,1,,,,
2460,SDSD,1,,,,
2461,Pure Senses Pte Ltd (Yankee Candle Singapore),1,,,,
2462,COMMZ SYSTEMS PTE LTD,1,,,,
2463,Pytheas,1,,,,
2464,Pétale Tea,1,,,,
2465,COMMVAULT SYSTEMS (SINGAPORE) PRIVATE LIMITED,1,,,,
2466,QASSURE TECHNOLOGIES PTE. LIMITED,1,,,,
2467,Jalgi Technologies Pvt Ltd,1,,,,
2468,CODEWERX MOTORSCIENCE PTE. LTD.,1,,,,
2469,QUANTUM JUMP PTE. LTD.,1,,,,
2470,CLOUDCC PTE. LTD.,1,,,,
2471,CLICKTROY (SG) PTE LTD,1,,,,
2472,Jala,1,,,,
2473,Eco-Light Pte Ltd,1,,,,
2474,Quadrant,1,,,,
2475,Quadrant Protocol,1,,,,
2476,CHUNGHWA TELECOM SINGAPORE PTE. LTD.,1,,,,
2477,Eden + Elie,1,,,,
2478,JOGA INCORPORATED PTE. LTD.,1,,,,
2479,CHART.IT PTE. LTD.,1,,,,
2480,JLS Training House Pte Ltd,1,,,,
2481,CHAIN IQ ASIA PTE. LTD.,1,,,,
2482,RAISE TECHNOLOGY PTE. LTD.,1,,,,
2483,Edenred,1,,,,
2484,CFB BOTS PTE. LTD.,1,,,,
2485,Edit Suits Co.,1,,,,
2486,Janison,1,,,,
2487,Puhua International Pte Ltd,1,,,,
2488,Public Accountant & Co,1,,,,
2489,Poket Pte Ltd,1,,,,
2490,Piggyback Pte Ltd,1,,,,
2491,Pivotal Software,1,,,,
2492,CURVATURE SOLUTIONS PTE. LTD.,1,,,,
2493,Plantonic,1,,,,
2494,Plantonic Singapore,1,,,,
2495,Platinum Yoga Ltd Pte,1,,,,
2496,Platinum Yoga Pte LtdMarketing Executive Intern,1,,,,
2497,Platinun Yoga Pte Ltd,1,,,,
2498,Plug And Play Tech Center,1,,,,
2499,Jinhe Innovation (Mediaworkz Singapore),1,,,,
2500,Pluspreorder,1,,,,
2501,PostoFixe,1,,,,
2502,Janna Systems Pte Ltd,1,,,,
2503,COROUS360 PTE LTD,1,,,,
2504,Premier Football International Pte Ltd,1,,,,
2505,Premium Systems Technology Pte Ltd,1,,,,
2506,Presto Labs Pte Ltd,1,,,,
2507,ProKakis Pte Ltd,1,,,,
2508,CONNECTOME PTE. LTD.,1,,,,
2509,Prognostic Services Pte Ltd,1,,,,
2510,COMPUTER INFOTECH (S) PTE LTD,1,,,,
2511,Progressheng Holdings Pte Ltd,1,,,,
2512,Prominds Pte Ltd,1,,,,
2513,Pslove - female wellness,1,,,,
2514,REBATEMANGO PTE. LTD.,1,,,,
2515,CELL MEDIA ELEARNING  ASIA PTE. LTD.,1,,,,
2516,Ei-Infocomm Pte Ltd,1,,,,
2517,International Brand,1,,,,
2518,Ring Md Global Pte Ltd,1,,,,
2519,Brandx,1,,,,
2520,Invision Corporate Solutions Pte. Ltd.,1,,,,
2521,Roborock Singapore Pte Ltd.,1,,,,
2522,Electra (S) Pte Ltd,1,,,,
2523,Bosch Software Innovations,1,,,Yes,
2524,Rocket Internet,1,,,,
2525,Book Show Ticket,1,,,,
2526,Bona Technologies Holdings Pte Ltd,1,,,,
2527,Bohemesg,1,,,,
2528,Runway Bandits,1,,,,
2529,Bode Fabrics & Furnishings,1,,,,
2530,Resparkle,1,,,,
2531,BoardPAC Pte Ltd,1,,,,
2532,Blujay Solutions Pte Ltd,1,,,,
2533,InterCall Marketing,1,,,,
2534,Blucurve Pte Ltd,1,,,,
2535,Block Tree Club,1,,,,
2536,Intelliswift,1,,,,
2537,Blazon Technologies Pte Ltd,1,,,,
2538,Inteliment,1,,,,
2539,Integrated Software Engineering Pte Ltd,1,,,,
2540,SCash Technologies Pte Ltd,1,,,,
2541,Integrated Information Systems Pte Ltd,1,,,,
2542,Revinate,1,,,,
2543,Island Peak Cloud,1,,,,
2544,REFINE SOLUTIONS PTE. LTD.,1,,,,
2545,CALENDARONE PTE LTD,1,,,,
2546,CDNETWORKS SINGAPORE PTE. LTD.,1,,,,
2547,CCTS Global Pte Ltd,1,,,,
2548,RGS TECHNOLOGY PTE LTD,1,,,,
2549,Eideas Technology Pte Ltd,1,,,,
2550,J&R Bossini Fashion Pte Ltd,1,,,,
2551,CASTLES TECHNOLOGY SINGAPORE PTE. LTD.,1,,,,
2552,ROCK NANO GLOBAL PTE. LTD.,1,,,,
2553,ROI Hunter,1,,,,
2554,Eight Flags Computer Systems & Supplies Pte Ltd,1,,,,
2555,CARAT 55,1,,,,
2556,Radan Systems Pte Ltd,1,,,,
2557,Raintree Software Pte Ltd,1,,,,
2558,Britestone Pte Ltd,1,,,,
2559,Rakuten Asia Pte. Ltd,1,,,,
2560,Rate It Pte. Ltd.,1,,,,
2561,Rayton Solutions Pte Ltd,1,,,,
2562,It Consultis,1,,,,
2563,ButlerTech Group,1,,,,
2564,Bullworks Mint Museum of Toys,1,,,,
2565,Buddingtodds Pte Ltd,1,,,,
2566,Buddingtodds Pte Lrd,1,,,,
2567,Brown Bag Wines,1,,,,
2568,Isocert Pte Ltd,1,,,,
2569,ReloTalent,1,,,,
2570,Kakejo Pte. Ltd.,1,,,,